Card Title,Property Type,Location,Price_numeric,Area_sqft,Bedrooms,Bathrooms,Parking Spaces,Floors,Year,Furnished,Servant Quarters,Dining Room,Kitchens,Study Room,Prayer Room,Gym,Store Rooms,Lounge or Sitting Room,Laundry Room,Community Lawn or Garden,Community Gym,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff,Kids Play Area,Community Swimming Pool,Mosque
Near DHA Raya 1 Kanal With Basement Mohsin Ali Beautiful Design Bungalow For Sale At Prime Location Of Dha,House,"DHA Phase 6 - Block L, DHA Phase 6",83800000.00000001,5445.0,6.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7 Marla Slightly Used House Available For Sale In Lake City Sector M-7,House,"Lake City - Sector M-7, Lake City",24000000.0,1905.75,4.0,5.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Brand New House On 3 Years Easy Instalment Plan In Park View City Lahore.,House,"Park View City, Lahore",16299999.999999998,1361.25,4.0,4.0,,2.0,2025.0,No,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ideally Located Flat For sale In Askari 10 - Sector F Available,Flat,"Askari 10 - Sector F, Askari 10",34000000.0,2722.5,3.0,3.0,2.0,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Book A House Of 10 Marla In Askari 11 - Sector A Lahore,House,"Askari 11 - Sector A, Askari 11",41000000.0,2722.5,3.0,3.0,2.0,,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Full Basement House For Sale,House,"DHA Phase 1, DHA Defence",49000000.0,2722.5,5.0,5.0,3.0,3.0,2025.0,No,1,Yes,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Your Dream Brand New 788 Square Feet House Is Available In Sabzazar Scheme,House,"Sabzazar Scheme, Lahore",17800000.0,952.875,3.0,3.0,,,2025.0,Yes,No,Yes,2,Yes,Yes,Yes,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
10 Marla Slightly Used House For Sale In Sector E Bahria Town Lahore,House,"Bahria Town - Sector E, Bahria Town",32000000.0,2722.5,4.0,5.0,,2.0,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brand New Ultra Modern Luxury House,House,"Al Jalil Garden - Block B, Al Jalil Garden",14500000.0,816.75,3.0,4.0,1.0,2.0,2025.0,No,No,No,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 MARLA HOUSE PRIME LOCATION FOR SALE,House,"Johar Town Phase 2 - Block L, Johar Town Phase 2",25500000.0,1361.25,3.0,4.0,1.0,1.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
